id,name,kind
Compound::DB00120,L-Phenylalanine,Compound
Compound::DB00168,Aspartame,Compound
Compound::DB00175,Pravastatin,Compound
Compound::DB00177,Valsartan,Compound
Compound::DB00178,Ramipril,Compound
Compound::DB00181,Baclofen,Compound
Compound::DB00182,Amphetamine,Compound
Compound::DB00186,Lorazepam,Compound
Compound::DB00187,Esmolol,Compound
Compound::DB00188,Bortezomib,Compound
Compound::DB00190,Carbidopa,Compound
Compound::DB00192,Indecainide,Compound
Compound::DB00195,Betaxolol,Compound
Compound::DB00204,Dofetilide,Compound
Compound::DB00206,Reserpine,Compound
Compound::DB00208,Ticlopidine,Compound
Compound::DB00214,Torasemide,Compound
Compound::DB00221,Isoetarine,Compound
Compound::DB00222,Glimepiride,Compound
Compound::DB00226,Guanadrel,Compound
Compound::DB00227,Lovastatin,Compound
Compound::DB00232,Methyclothiazide,Compound
Compound::DB00233,Aminosalicylic Acid,Compound
Compound::DB00243,Ranolazine,Compound
Compound::DB00244,Mesalazine,Compound
Compound::DB00247,Methysergide,Compound
Compound::DB00264,Metoprolol,Compound
Compound::DB00270,Isradipine,Compound
Compound::DB00275,Olmesartan,Compound
Compound::DB00284,Acarbose,Compound
Compound::DB00289,Atomoxetine,Compound
Compound::DB00310,Chlorthalidone,Compound
Compound::DB00320,Dihydroergotamine,Compound
Compound::DB00328,Indomethacin,Compound
Compound::DB00331,Metformin,Compound
Compound::DB00335,Atenolol,Compound
Compound::DB00343,Diltiazem,Compound
Compound::DB00346,Alfuzosin,Compound
Compound::DB00350,Minoxidil,Compound
Compound::DB00351,Megestrol acetate,Compound
Compound::DB00353,Methylergometrine,Compound
Compound::DB00368,Norepinephrine,Compound
Compound::DB00373,Timolol,Compound
Compound::DB00374,Treprostinil,Compound
Compound::DB00378,Dydrogesterone,Compound
Compound::DB00381,Amlodipine,Compound
Compound::DB00384,Triamterene,Compound
Compound::DB00391,Sulpiride,Compound
Compound::DB00393,Nimodipine,Compound
Compound::DB00396,Progesterone,Compound
Compound::DB00401,Nisoldipine,Compound
Compound::DB00412,Rosiglitazone,Compound
Compound::DB00419,Miglustat,Compound
Compound::DB00420,Promazine,Compound
Compound::DB00421,Spironolactone,Compound
Compound::DB00423,Methocarbamol,Compound
Compound::DB00436,Bendroflumethiazide,Compound
Compound::DB00452,Framycetin,Compound
Compound::DB00457,Prazosin,Compound
Compound::DB00458,Imipramine,Compound
Compound::DB00464,Sodium Tetradecyl Sulfate,Compound
Compound::DB00476,Duloxetine,Compound
Compound::DB00477,Chlorpromazine,Compound
Compound::DB00479,Amikacin,Compound
Compound::DB00484,Brimonidine,Compound
Compound::DB00489,Sotalol,Compound
Compound::DB00491,Miglitol,Compound
Compound::DB00492,Fosinopril,Compound
Compound::DB00507,Nitazoxanide,Compound
Compound::DB00508,Triflupromazine,Compound
Compound::DB00519,Trandolapril,Compound
